ID;SMILES;Screening;Enzyme activity (%);pIC50;pEC50;pCC50;Crystal structure;;;;
H3D-003181;OC(=O)c1ccccc1NC(=O)CNc1ccccc1C(F)(F)F;VS;;6,040958608;5,886056648;4;;;;;
H3D-001915;OC(=O)c1ccccc1NC(=O)CNc1ccc(cc1)C(F)(F)F;VS;;5,619788758;5,508638306;4;;;;;
H3D-003186;OC(=O)c1ccccc1NC(=O)CNc1ccccc1OC(F)(F)F;VS;;5,585026652;5,619788758;4,000869459;;;;;
H3D-001919;OC(=O)c1ccccc1NC(=O)COc1ccc(cc1)Br;VS;;5,13076828;ND;ND;;;;;
H3D-002843;OC(=O)c1ccccc1NC(=O)CNc1ccc(cc1)F;VS;;5,113509275;ND;ND;;;;;
H3D-001700;OC(=O)c1ccccc1NC(=O)CCc1ccc(cc1)C(F)(F)F;VS;;5,022276395;ND;ND;;;;;
H3D-001719;OC(=O)c1ccccc1NC(=O)CNc1ccc(cc1)Br;VS;;4,863279433;ND;ND;;;;;
H3D-003213;OC(=O)c1ccccc1NC(=O)CNC1CCc2ccccc2C1;VS;;4,853871964;ND;ND;;;;;
H3D-003450;OC(=O)c1ccccc1NC(=O)CN1CCOc2ccccc21;VS;;4,522878745;ND;ND;;;;;
H3D-001733;OC(=O)c1ccccc1NC(=O)COc1ccc(nc1)Br;VS;;4,431798276;ND;ND;;;;;
H3D-003550;OC(=O)C1=C(CCCC1)NC(=O)CNc1ccc(cc1)Br;VS;;4,229147988;ND;ND;;;;;
H3D-003503;OC(=O)c1ccccc1NC(=O)CN1CCN(CC1)c1ccc(cn1)C(F)(F)F;VS;;4,200659451;ND;ND;;;;;
H3D-003502;OC(=O)c1ccccc1NC(=O)CN1CCN(CC1)c1ccc(cn1)Br;VS;;4,15490196;ND;ND;;;;;
H3D-003188;OC(=O)c1ccccc1NC(=O)CNCc1ccc(nc1)C(F)(F)F;VS;;3,841637508;ND;ND;;;;;
H3D-003549;OC(=O)C1=C(CCCC1)NC(=O)CNc1ccc(cc1)F;VS;;3,494850022;ND;ND;;;;;
H3D-003308;OC(=O)c1ccccc1NC(=O)N1CCN(CC1)c1ccc(cc1)F;VS;;3,468521083;ND;ND;;;;;
H3D-002856;O=C(CNc1c(F)cccc1F)Nc1ccccc1C(=O)[O-];VS;;5,534617149;5,408935393;ND;Y;;;;
H3D-003820;Nc1c(cnn1-c1ccc(cc1)F)C(=O)NCCc1ccncc1;VS;80;NA;NA;NA;;;;;
H3D-003512;OC(=O)c1cccc(c1O)NC(=O)CNc1ccc(cc1)F;VS;90;NA;NA;NA;;;;;
H3D-001682;OC(=O)c1ccc(cc1NC(=O)CCc1ccc(cc1)-c1ccc(cc1)Cl)F;VS;23;NA;NA;NA;;;;;
H3D-001697;CCOC(=O)c1ccccc1NC(=O)NCc1ccc(cc1)Br;VS;89;NA;NA;NA;;;;;
H3D-001699;CCOC(=O)c1ccccc1NC(=O)CCc1ccccc1Br;VS;50;NA;NA;NA;;;;;
H3D-002845;Oc1ccccc1NC(=O)CNc1ccc(cc1)Br;VS;100;NA;NA;NA;;;;;
H3D-000374;CC(C)(C)NC(=O)c1ccc(F)c(-c2ccc3ncc(-c4ccc(S(C)(=O)=O)cc4)n3n2)c1;VS;113;NA;NA;NA;;;;;
H3D-003130;O=C(C[NH+]1CCN(c2ccc(F)cc2)CC1)Nc1ccccc1C(=O)[O-];VS;80;NA;NA;NA;;;;;
H3D-003308;O=C([O-])c1ccccc1NC(=O)N1CCN(c2ccc(F)cc2)CC1;VS;71;NA;NA;NA;;;;;
H3D-005516;Cc1cc2nc(C(=O)NCCO)cc(-n3nccc3C)c2c(C)c1-c1ccc(CN2CCOC2=O)cc1;VS;105;NA;NA;NA;;;;;
H3D-006902;Cc1cc2nc(CO)cc(-n3nccc3C)c2c(C)c1-c1ccc(CN2CCOCC2)cc1;VS;104;NA;NA;NA;;;;;
H3D-008198;Cc1cc2nc(C(=O)NCC(=O)[O-])cc(-n3nccc3C)c2c(C)c1-c1ccncc1;VS;74;NA;NA;NA;;;;;
H3D-008521;Cc1cc2nc(C(=O)NCC(=O)[O-])cc(-c3ccccc3F)c2c(C)c1-c1ccncc1;VS;98;NA;NA;NA;;;;;
H3D-013381;CNC(=O)c1cc(-n2nccc2C)c2c(C)c(-c3ccc(CO[C@@H]4CCNC4=O)cc3)c(C)cc2n1;VS;83;NA;NA;NA;;;;;
H3D-005797;COCCn1ccc(-c2c(C)cc3nc(C(=O)NCC(=O)[O-])cc(-c4ccccc4F)c3c2C)cc1=O;VS;94;NA;NA;NA;;;;;
H3D-007277;Cc1cc2nc(C(=O)NCC(=O)[O-])cc(-n3nccc3C)c2c(C)c1-c1ccc(CN2CCOCC2)cc1;VS;99;NA;NA;NA;;;;;
H3D-008418;Cc1cc2nc(C(=O)NCC(=O)[O-])cc(-c3ccccc3F)c2c(C)c1-c1ccc(CN2CCOCC2)cc1;VS;98;NA;NA;NA;;;;;
LabMol-411;O=C(Nc1ccc2oc(-c3ccccc3F)nc2c1)c1ccc(Cl)c([N+](=O)[O-])c1;VS;82;NA;NA;NA;;;;;
LabMol-412;CC(C)Oc1ccccc1NC(=O)CSc1nnc(-c2cccc(F)c2)n1-c1ccccc1;VS;90;NA;NA;NA;;;;;
LabMol-413;COc1cccc(NC(=O)CN(c2ccccc2F)S(=O)(=O)c2ccc(C)cc2)c1;VS;52;NA;NA;NA;;;;;
LabMol-416;O=C(COc1ccccc1[N+](=O)[O-])Nc1ccc2oc(-c3ccccc3F)nc2c1;VS;89;NA;NA;NA;;;;;
LabMol-418;O=C(COc1ccc(Cl)cc1Cl)Nc1ccc2c(c1)C(=O)c1ccccc1C2=O;VS;98;NA;NA;NA;;;;;
LabMol-419;Cc1nn(-c2ccccc2)c(OC(=O)C(C)C)c1Sc1ccccc1[N+](=O)[O-];VS;76;NA;NA;NA;;;;;
LabMol-420;O=C(Nc1ccc2oc(-c3ccccc3Cl)nc2c1)c1ccc(N2CCCC2)c([N+](=O)[O-])c1;VS;75;NA;NA;NA;;;;;
LabMol-422;C=CCn1c(SCC(=O)Nc2ccc(Br)cc2F)nnc1-c1ccccc1Cl;VS;107;NA;NA;NA;;;;;
LabMol-423;C=CCn1c(SCC(=O)Nc2ccc(F)cc2F)nnc1-c1ccccc1O;VS;96;NA;NA;NA;;;;;
LabMol-424;C=CCn1c(SCC(=O)Nc2cc([N+](=O)[O-])ccc2C)nnc1-c1ccccc1Cl;VS;99;NA;NA;NA;;;;;
LabMol-425;C=CCn1c(SCC(=O)Nc2cc(C)c(C)cc2Br)nnc1-c1ccccc1Cl;VS;103;NA;NA;NA;;;;;
LabMol-426;C=CCn1c(SCC(=O)Nc2ccc(F)c(F)c2F)nnc1-c1ccccc1O;VS;48;NA;NA;NA;;;;;
LabMol-427;C=CCn1c(SCC(=O)Nc2cccc(OC)c2)nnc1-c1ccccc1F;VS;55;NA;NA;NA;;;;;
LabMol-428;C=CCn1c(SCC(=O)Nc2ccc(Br)c(Cl)c2)nnc1-c1ccccc1F;VS;40;NA;NA;NA;;;;;
LabMol-429;C=CCn1c(SCC(=O)Nc2ccc(Cl)cc2C)nnc1-c1ccccc1F;VS;95;NA;NA;NA;;;;;
LabMol-430;C=CCn1c(SCC(=O)Nc2ccc(OCC)cc2)nnc1-c1ccccc1F;VS;98;NA;NA;NA;;;;;
LabMol-432;C=CCn1c(SCC(=O)Nc2cccc(C(F)(F)F)c2)nnc1-c1ccccc1F;VS;75;NA;NA;NA;;;;;
LabMol-434;CCn1c(SCC(=O)Nc2ccc(Br)cc2C(C)C)nnc1-c1ccccc1F;VS;77;NA;NA;NA;;;;;
LabMol-435;C=CCn1c(SCC(=O)Nc2c(F)cc(F)cc2Br)nnc1-c1ccccc1F;VS;98;NA;NA;NA;;;;;
LabMol-436;C=CCn1c(SCC(=O)Nc2ccc(Br)cc2C(C)C)nnc1-c1ccccc1F;VS;99;NA;NA;NA;;;;;
LabMol-437;COC(=O)c1cc(OC)c(OC)cc1NC(=O)c1ccc(-c2ccccc2F)o1;VS;98;NA;NA;NA;;;;;
LabMol-438;CCCCn1c(C)cn2c3c(=O)n(Cc4ccccc4F)c(=O)n(C)c3nc12;VS;97;NA;NA;NA;;;;;
LabMol-439;Cn1c(=O)c2c(ncn2CC(=O)Nc2ccc3oc(-c4ccccc4F)nc3c2)n(C)c1=O;VS;60;NA;NA;NA;;;;;
LabMol-440;COc1ccc(S(=O)(=O)Nc2c(F)cccc2F)cc1C(=O)NC(C)C;VS;95;NA;NA;NA;;;;;
LabMol-441;COc1cc(F)ccc1-c1ccc(=O)n(CC(=O)Nc2cccc(SC)c2)n1;VS;70;NA;NA;NA;;;;;
LabMol-442;CCC(CC)C(=O)N1CCc2c(cnc(C)c2CNC(=O)c2ccccc2F)C1;VS;60;NA;NA;NA;;;;;
LabMol-443;CCCN1CCN(C(=O)c2cc(NC(C)=O)c3c(c2)nc(-c2ccccc2F)n3CC)CC1;VS;99;NA;NA;NA;;;;;
LabMol-444;CCn1c(-c2ccccc2F)nc2cc(NC(C)=O)cc(C(=O)NC(C)C)c21;VS;99;NA;NA;NA;;;;;
LabMol-445;CSc1cccc(NC(=O)c2cc(NCc3ccccc3F)cc(S(=O)(=O)N3CCCC3)c2)c1;VS;63;NA;NA;NA;;;;;
QHM-0000936;CCN(Cc1ccncc1)C(=O)c1cnn(-c2nccc(-c3ccccc3F)n2)c1C(C)C;Enzymatic;30,4;NA;NA;NA;;;;;
QHM-0000938;CCCN1CCN(C(=O)c2cnn(-c3nccc(-c4ccccc4F)n3)c2C2CC2)CC1;Enzymatic;33;NA;NA;NA;;;;;
QHM-0001039;Cc1ccc(C(=O)[O-])c(N2CCc3onc(-c4ccccc4F)c3C2)[nH+]1;Enzymatic;47,2;NA;NA;NA;;;;;
QHM-0001042;CCCN1CCN(C(=O)c2cnn(-c3nccc(-c4ccccc4F)n3)c2C)CC1;Enzymatic;;4,522878745;ND;ND;;;;;
QHM-0001041;COCc1c(C(=O)N2CCN(C(C)C)CC2)cnn1-c1nccc(-c2ccccc2F)n1;Enzymatic;;4,698970004;ND;ND;;;;;
QHM-0001040;CC(C)Cc1cc(C(=O)N2CCc3[nH]nc(-c4ccccc4F)c3C2)n(C)n1;Enzymatic;;4,920818754;6,397940009;ND;;;;;
QHM-0000990;O=C1C2=CC=CC=C2N=C(NC2=CC3=C(OCCO3)C=C2)N1;Enzymatic;;4,602059991;ND;ND;;;;;
QHM-0001062;O=C1NC(NC2=CC=C(C3=CC=CC=C3)C=C2)=NC2=CC=CC=C12;Enzymatic;50,5;ND;6,823908741;4,453457337;;;;;
QHM-0001063;O=C1NC(NC2=CC(C3=CC=CC=C3)=CC=C2)=NC2=CC=CC=C12;Enzymatic;;6,229147988;ND;ND;;;;;
QHM-0001060;CC(NC1=CC=C(C#CC2=CC([N+]([O-])=O)=C(N)C(N)=C2)C=C1)=O;Enzymatic;;4,148741651;ND;ND;;;;;
QHM-0001059;NC1=CC=C(C#CC2=CC=CC(N)=C2)C=C1;Enzymatic;60,3;NA;NA;NA;;;;;
QHM-0001015;C1=CC(C#CC2=CC=C3C(=C2)C(F)=NN3)=CC=C1NC(C)=O;Enzymatic;;4,769551079;ND;ND;Y;;;;
QHM-0001014;C1=CC(C#CC2=CC=C3C(=C2)C=NN3)=CC=C1NC(C)=O;Enzymatic;;5;ND;ND;Y;;;;
QHM-0001013;C1=CC(C#CC2=CC=C3C(=C2)N=CN3)=CC=C1NC(C)=O;Enzymatic;;4,602059991;ND;ND;;;;;
QHM-0001012;C1=CC(C#CC2=CC=C(N)C(N)=C2)=CC=C1NC(C)=O;Enzymatic;;5,301029996;ND;ND;Y;;;;
QHM-0000945;NC1=CC(C#CC2=CC=CC=C2C(N)=O)=CC=C1;Enzymatic;91,8;NA;NA;NA;;;;;
QHM-0000944;NC1=CC=C(C#CC2=CC=C(NC(C)=O)C=C2)C=C1;Enzymatic;;4,978810701;ND;ND;Y;;;;
QHM-0000931;O=C(OC)NC1=CC=C(C#CC2=CC=CC=C2)C=C1;Enzymatic;30;NA;NA;NA;;;;;
QHM-0000373;CS(=O)(=O)NC1=CC=CC(C#CC2=CC=CC([N+]([O-])=O)=C2)=C1;Enzymatic;82,7;NA;NA;NA;;;;;
QHM-0000372;NC1=CC=CC(C#CC2=CC=CC([N+]([O-])=O)=C2)=C1;Enzymatic;93,3;NA;NA;NA;;;;;
QHM-0000371;CC(=O)NC1=CC=C(C#CC2=CC(NS(C)(=O)=O)=CC=C2)C=C1;Enzymatic;90,7;NA;NA;NA;;;;;
QHM-0000370;CC(=O)NC1=CC=C(C#CC2=CC(N)=CC=C2)C=C1;Enzymatic;;5,721246399;1,7;ND;Y;;;;
QHM-0001077;CC(NC1=CC=C(C#CC2=CC(N)=C(N)C(N)=C2)C=C1)=O;Enzymatic;;3,982966661;ND;ND;;;;;
QHM-0000892;[O-][N+](=O)C1=CC=CC(C(=O)NCCC2=CNC3=C2C=CC=C3)=C1;Enzymatic;53;NA;NA;NA;;;;;
QHM-0000891;CS(=O)(=O)NC1=CC=CC(C(=O)NCCC2=CC=CC=C2)=C1;Enzymatic;129;NA;NA;NA;;;;;
QHM-0000890;NC1=CC(C(=O)NCC2=CC=C(Br)C=C2)=CC=C1;Enzymatic;125;NA;NA;NA;;;;;
QHM-0000889;NCC1=CC=C(C#N)C=C1;Enzymatic;115;NA;NA;NA;;;;;
QHM-0000886;CNC(=O)C1=CC(NS(C)(=O)=O)=CC=C1;Enzymatic;110;NA;NA;NA;;;;;
QHM-0000884;CS(=O)(=O)NC1=CC=CC(C(=O)NCC2CCCCC2)=C1;Enzymatic;88;NA;NA;NA;;;;;
QHM-0000883;[O-][N+](=O)C1=CC=CC(C(=O)C2C=NC3=C2C=CC=C3)=C1;Enzymatic;135;NA;NA;NA;;;;;
QHM-0000880;F[C@H]1CCN(C(=O)NC2=CC3=NC(C4=CC=C(F)C(F)=C4)=CN3C=N2)C1;Enzymatic;102;NA;NA;NA;;;;;
QHM-0000850;COC(=O)C1=CC=C([N+]([O-])=O)C=C1CBr;Enzymatic;125;NA;NA;NA;;;;;
QHM-0000836;CC1=CC2=NC(C3=CC=C(F)C(F)=C3)=CN2C(C)=C1;Enzymatic;129;NA;NA;NA;;;;;
QHM-0000828;CC1=CN2C(=NC(C3=CC=C(F)C(F)=C3)=C2CO)C=C1;Enzymatic;91;NA;NA;NA;;;;;
QHM-0000808;CC1=CC=C(C2=NNC3=C2C=CC=C3)C=C1;Enzymatic;142;NA;NA;NA;;;;;
QHM-0000805;NC1=CC=C2C(=O)N(CC3=CC=C(Br)C=C3)CC2=C1;Enzymatic;129;NA;NA;NA;;;;;
QHM-0000801;C1=NN(C2=CC=CC=N2)C2=CC=CC=C12;Enzymatic;115;NA;NA;NA;;;;;
QHM-0000798;IC1=NNC2=CC=CC=C12;Enzymatic;97;NA;NA;NA;;;;;
QHM-0000795;CCCCN(CC1=C(C2=CC=CC=N2)N=C2C=C(C)C=CN12)C1=CC=C(F)C=C1;Enzymatic;106;NA;NA;NA;;;;;
QHM-0000780;O=C1CC2=NC=CC=C2CN1;Enzymatic;78;NA;NA;NA;;;;;
QHM-0000771;[O-][N+](=O)C1=CC=C(CN2C=C(C3=CC=CC=C3)N=N2)C=C1;Enzymatic;63;NA;NA;NA;;;;;
QHM-0000770;NC1=CC(C2=CN(C3=CC=C([N+]([O-])=O)C=C3)N=N2)=CC=C1;Enzymatic;80;NA;NA;NA;;;;;
QHM-0000768;[O-][N+](=O)C1=CC=C(N2C=C(C3=CC=C(COCC4=CC=CC=C4)C=C3)N=N2)C=C1;Enzymatic;97;NA;NA;NA;;;;;
QHM-0000766;[O-][N+](=O)C1=CC(N2C=C(C3=CC=C(COCC4=CC=CC=C4)C=C3)N=N2)=CC=C1;Enzymatic;79;NA;NA;NA;;;;;
QHM-0000765;COC1=CC=C(C2=CN(C3=CC=CC([N+]([O-])=O)=C3)N=N2)C=C1;Enzymatic;76;NA;NA;NA;;;;;
QHM-0000760;NC1=CC(C2=CN(CC3=CC=CC([N+]([O-])=O)=C3)N=N2)=CC=C1;Enzymatic;91;NA;NA;NA;;;;;
QHM-0000751;FC1=CC=C(NC(=O)NC2=CC(N3C=NN=N3)=CC=C2)C=C1;Enzymatic;122;NA;NA;NA;;;;;
QHM-0000749;FC(F)(F)C1=CC=CC(NC(=O)NC2=CC(N3C=NN=N3)=CC=C2)=C1;Enzymatic;71;NA;NA;NA;;;;;
QHM-0000726;CC(C)=CCC1=C(O[Si](C)(C)C(C)(C)C)CC2=CC=CC=C2C1=O;Enzymatic;77;NA;NA;NA;;;;;
QHM-0000714;CC1=CC=C(CN2CC3=CC(N)=CC=C3C2=O)C=C1;Enzymatic;102;NA;NA;NA;;;;;
QHM-0000712;[O-][N+](C1=CC=C2C(=C1)CN(C1=CC=C(Cl)C(F)=C1)C2=O)=O;Enzymatic;77;NA;NA;NA;;;;;
